nro;cod_ied_N;nomb_ied;d_dreugel;cod_mod;nivel;;;;
;;;;1061332;EBR SECUNDARIA;;;;
509;04292413;949;UGEL CUSCO;1608769;EBR INICIAL;;;;
510;06521071;SE¥OR DE LOS MILAGROS;UGEL CUSCO;1060888;EBR PRIMARIA;;;;
;;;;1060920;EBR SECUNDARIA;;;;
511;06125565;REAL SAN FELIPE;UGEL CUSCO;0928689;IST;;;;
512;02816830;51002 ALEJANDRO SANCHEZ ARTEAGA;UGEL CUSCO;0205906;EBR PRIMARIA;;;;
513;05947057;NUESTRA SEÑORA VIRGEN DEL CARMEN;UGEL CUSCO;1202084;EBR INICIAL;;;;
;;;;1202092;EBR PRIMARIA;;;;
;;;;1387315;EBR SECUNDARIA;;;;
514;05897548;NIÑOS DEL CARMEN;UGEL CUSCO;0927681;EBR INICIAL;;;;
515;02610329;440 ERNESTO GUNTHER;UGEL CUSCO;0403923;EBR INICIAL;;;;
516;05539099;LAURA VICUÑA;UGEL CUSCO;0772780;EBR INICIAL;;;;
517;06979793;INSTITUCIÓN EDUCATIVA FE Y ESPERANZA;UGEL CUSCO;1752690;EBR PRIMARIA;;;;
518;04824636;CUISINE;UGEL CUSCO;1636422;CETPRO;;;;
519;06610587;TESORITO;UGEL CUSCO;0928499;EBR INICIAL;;;;
;;;;1756816;EBR PRIMARIA;;;;
520;06744249;WAWACHA;UGEL CUSCO;1575547;EBR INICIAL;;;;
521;06961460;BRYCE;UGEL CUSCO;1695444;EBR SECUNDARIA;;;;
522;02690438;50044;UGEL CUSCO;1432111;EBR INICIAL;;;;
;;;;0405282;EBR PRIMARIA;;;;
523;05606071;LOS PIMPOLLITOS;UGEL CUSCO;0927566;EBR INICIAL;;;;
524;05625874;LUIS VALLEJOS SANTONI;UGEL CUSCO;1061654;EBR PRIMARIA;;;;
525;05474711;LA CASA DEL BAMBINI;UGEL CUSCO;1372259;EBR INICIAL;;;;
526;01261282;206;UGEL CUSCO;0731091;EBR INICIAL;;;;
527;04754591;COMERCIO 41;UGEL CUSCO;0207530;EBA AVANZADO;;;;
528;04754591;COMERCIO 41;UGEL CUSCO;0207449;EBR SECUNDARIA;;;;
529;04253061;89;UGEL CUSCO;0403634;EBR INICIAL;;;;
530;02790181;50731 NUESTRA SEÑORA DE LA NATIVIDAD DE PROGRESO;UGEL CUSCO;0205062;EBR PRIMARIA;;;;
;;;;1522721;EBR SECUNDARIA;;;;
531;06736572;VIRGENCITA DE GUADALUPE;UGEL CUSCO;1349810;EBR INICIAL;;;;
532;03473368;698 LA INMACULADA;UGEL CUSCO;0627786;EBR INICIAL;;;;
533;01277121;207;UGEL CUSCO;0731141;EBR INICIAL;;;;
534;05457645;KINDER EMILIA BARCIA BONIFATTI;UGEL CUSCO;1201599;EBR INICIAL;;;;
535;05845815;MONTESSORIANO;UGEL CUSCO;1386382;EBR INICIAL;;;;
536;02635331;461;UGEL CUSCO;0404145;EBR INICIAL;;;;
537;05816459;MILLENNIUM;UGEL CUSCO;1386333;EBR PRIMARIA;;;;
;;;;1386341;EBR SECUNDARIA;;;;
538;05349907;JOSE ANDRES RAZURI ESTEVEZ;UGEL CUSCO;1061282;EBR INICIAL;;;;
;;;;1386663;EBR PRIMARIA;;;;
;;;;1386671;EBR SECUNDARIA;;;;
539;05083257;GIRASOLES;UGEL CUSCO;1269869;EBR INICIAL;;;;
540;06742831;WALDORF;UGEL CUSCO;1386259;EBR INICIAL;;;;
541;06581382;SUDAMERICANA;UGEL CUSCO;1309657;CETPRO;;;;
542;04948564;I.E. NO ESTATAL PRIVADA MAYOR EL NAZARENO;UGEL CUSCO;0817940;EBR PRIMARIA;;;;
;;;;0928085;EBR SECUNDARIA;;;;
543;02146762;352;UGEL CUSCO;0772756;EBR INICIAL;;;;
544;06626841;TRACTO SUR;UGEL CUSCO;1465962;CETPRO;;;;
545;05625386;LUIS PASTEUR;UGEL CUSCO;0815183;IST;;;;
546;06773109;VIRGEN DE ASUNCION;UGEL CUSCO;1062231;EBR PRIMARIA;;;;
;;;;1062272;EBR SECUNDARIA;;;;
;;;;1200823;EBA INICIAL-INTERMEDIO;;;;
;;;;1200831;EBA AVANZADO;;;;
547;06773109;VIRGEN DE ASUNCION;UGEL CUSCO;1387323;EBR INICIAL;;;;
548;02818655;51017;UGEL CUSCO;0206151;EBR PRIMARIA;;;;
549;05881293;NIÑO DE SAN CRISTOBAL;UGEL CUSCO;0522649;EBR INICIAL;;;;
550;04725719;CIPERMUN;UGEL CUSCO;1304369;CETPRO;;;;
551;05942837;NUESTRA SEÑORA DEL ROSARIO FE Y ALEGRIA 21;UGEL CUSCO;1062470;EBR INICIAL;;;;
;;;;0235341;EBR PRIMARIA;;;;
;;;;0236786;EBR SECUNDARIA;;;;
552;80000147;NUESTRA SEÑORA DEL ROSARIO FE Y ALEGRIA 21;UGEL CUSCO;1060755;CETPRO;;;;
553;06282717;SAN JOSE LA SALLE;UGEL CUSCO;1200575;EBR INICIAL;;;;
;;;;0234922;EBR PRIMARIA;;;;
;;;;0236679;EBR SECUNDARIA;;;;
554;06819249;PEDRO PAULET MOSTAJO;UGEL CUSCO;1721398;EBR PRIMARIA;;;;
;;;;1721380;EBR SECUNDARIA;;;;
555;05746817;MAXIMO NIVEL;UGEL CUSCO;1308303;CETPRO;;;;
556;05252539;ISEP SANTA ROSA;UGEL CUSCO;0207597;ISP;;;;
557;06450369;ISEP SANTA ROSA;UGEL CUSCO;0403873;EBR INICIAL;;;;
;;;;0406785;EBR PRIMARIA;;;;
;;;;0236232;EBR SECUNDARIA;;;;
558;06575447;SOS HERMANN GMEINER;UGEL CUSCO;1386952;EBR INICIAL;;;;
559;04554851;CADI GARABATO;UGEL CUSCO;0625483;EBR INICIAL;;;;
560;06445675;SANTA ROSA DE LIMA;UGEL CUSCO;1386028;EBR INICIAL;;;;
;;;;0235028;EBR PRIMARIA;;;;
;;;;0579243;EBR SECUNDARIA;;;;
561;04931149;EL CARMELO;UGEL CUSCO;0234989;EBR PRIMARIA;;;;
;;;;0236745;EBR SECUNDARIA;;;;
562;05654653;MANITAS CREADORAS;UGEL CUSCO;1386580;EBR INICIAL;;;;
563;06995799;KIDDYS CLUB;UGEL CUSCO;1755040;EBR INICIAL;;;;
564;06339174;SAN MARTIN DE PORRES;UGEL CUSCO;1727759;EBR INICIAL;;;;
;;;;0234948;EBR PRIMARIA;;;;
;;;;0579227;EBR SECUNDARIA;;;;
565;04501896;AUSANGATE BILINGUAL SCHOOL;UGEL CUSCO;1387331;EBR PRIMARIA;;;;
;;;;1541747;EBR SECUNDARIA;;;;
566;04501896;AUSANGATE BILINGUAL SCHOOL;UGEL CUSCO;1268143;EBR INICIAL;;;;
567;02689383;50028;UGEL CUSCO;0405134;EBR PRIMARIA;;;;
568;05989795;PACHAKUTEQ INKA YUPANKI;UGEL CUSCO;1390137;EBR SECUNDARIA;;;;
569;01939041;326;UGEL CUSCO;0775437;EBR INICIAL;;;;
570;06274145;SAN JERONIMO;UGEL CUSCO;1060714;CETPRO;;;;
571;05650283;MALABARES;UGEL CUSCO;1620988;EBR INICIAL;;;;
572;04736605;CLORINDA MATTO DE TURNER;UGEL CUSCO;0405050;EBR PRIMARIA;;;;
;;;;0236109;EBR SECUNDARIA;;;;
;;;;0235499;EBA INICIAL-INTERMEDIO;;;;
;;;;0236810;EBA AVANZADO;;;;
573;80000056;CLORINDA MATTO DE TURNER;UGEL CUSCO;0207647;CETPRO;;;;
574;06183972;SAGRADO CORAZON DE JESUS;UGEL CUSCO;1644038;EBR INICIAL;;;;
;;;;0928820;EBR PRIMARIA;;;;
;;;;0933598;EBR SECUNDARIA;;;;
575;02686988;50002 LUIS VALLEJOS SANTONI;UGEL CUSCO;0404012;EBR INICIAL;;;;
;;;;0817916;EBR PRIMARIA;;;;
;;;;0782664;EBR SECUNDARIA;;;;
576;05680891;MARIA AUXILIADORA;UGEL CUSCO;0234971;EBR PRIMARIA;;;;
;;;;0236737;EBR SECUNDARIA;;;;
577;06198414;SALESIANO;UGEL CUSCO;1386184;EBR INICIAL;;;;
;;;;0234963;EBR PRIMARIA;;;;
;;;;0236687;EBR SECUNDARIA;;;;
578;07020430;SAN FRANCISCO DE ASIS;UGEL CUSCO;1060698;EBR INICIAL;;;;
;;;;0818096;EBR PRIMARIA;;;;
;;;;0236711;EBR SECUNDARIA;;;;
579;05089522;GOTITAS DE AMOR;UGEL CUSCO;1372283;EBR INICIAL;;;;
;;;;1696137;EBR PRIMARIA;;;;
580;06049834;PERUANO SUIZO DE LOS ANDES;UGEL CUSCO;1200567;EBR INICIAL;;;;
;;;;1061639;EBR PRIMARIA;;;;
;;;;1061670;EBR SECUNDARIA;;;;
581;05129214;HIJOS DEL REY;UGEL CUSCO;1060847;EBR INICIAL;;;;
;;;;1060805;EBR PRIMARIA;;;;
;;;;1200039;EBR SECUNDARIA;;;;
582;06331645;SAN MARCOS;UGEL CUSCO;1390152;CETPRO;;;;
583;04542568;INSTITUTO LATINO DEL CUSCO;UGEL CUSCO;1351964;IST;;;;
584;06873014;LATINOAMERICANO;UGEL CUSCO;1386945;CETPRO;;;;
585;05401380;JOSE PARDO;UGEL CUSCO;0931261;EBR INICIAL;;;;
;;;;0235044;EBR PRIMARIA;;;;
;;;;0579235;EBR SECUNDARIA;;;;
586;06778569;YANAPANAKUSUN;UGEL CUSCO;1386986;EBA AVANZADO;;;;
587;02737302;50 223;UGEL CUSCO;0407106;EBR PRIMARIA;;;;
588;02800241;50828 ASHID KUMAR BAHAL;UGEL CUSCO;0206102;EBR PRIMARIA;;;;
589;02688700;50016;UGEL CUSCO;0405019;EBR PRIMARIA;;;;
590;06389325;SANTA ANA;UGEL CUSCO;0931295;EBR INICIAL;;;;
;;;;0235051;EBR PRIMARIA;;;;
;;;;0236752;EBR SECUNDARIA;;;;
591;04604776;CCAPAC;UGEL CUSCO;1387349;IST;;;;
592;05713641;MARIA ROVIRA OLMO - ESCUELA ACTIVA;UGEL CUSCO;1643287;EBR INICIAL;;;;
593;06426867;SANTA MARIA MADRE DE DIOS;UGEL CUSCO;1386242;EBR PRIMARIA;;;;
;;;;1201094;EBR SECUNDARIA;;;;
594;05456657;KIMBIRI;UGEL CUSCO;1359033;IST;;;;
595;05600863;LOS NIÑOS DE JESUS;UGEL CUSCO;1060763;EBR INICIAL;;;;
596;07030339;MARIA DE FATIMA;UGEL CUSCO;1758226;EBR INICIAL;;;;
597;07030411;PIKICHAS;UGEL CUSCO;1758234;EBR INICIAL;;;;
598;80000385;DIDASCALIO JESUS MAESTRO;UGEL CUSCO;1386531;ISP;;;;
